created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-05-15 00:00:00 UTC,0.69,1.35,1.77,22339.93,-62.14,63.67,50.03,1.35
2020-05-16 00:00:00 UTC,1.20,2.01,2.41,23782.00,-61.19,62.42,55.32,2.01,
2020-05-16 00:00:00 UTC,1.20,2.01,2.41,23782.00,-61.19,62.42,55.32,2.01
2020-05-17 00:00:00 UTC,0.83,1.51,2.01,25222.00,-60.80,62.84,63.88,1.44,
2020-05-17 00:00:00 UTC,0.83,1.51,2.01,25222.00,-60.80,62.84,63.88,1.44
2020-05-18 00:00:00 UTC,1.95,3.31,4.37,26662.00,-62.93,61.61,56.27,3.31,
2020-05-18 00:00:00 UTC,1.95,3.31,4.37,26662.00,-62.93,61.61,56.27,3.31
2020-05-19 00:00:00 UTC,1.06,1.87,2.44,28102.00,-62.70,62.48,53.82,1.87,
2020-05-19 00:00:00 UTC,1.06,1.87,2.44,28102.00,-62.70,62.48,53.82,1.87
2020-05-20 00:00:00 UTC,1.89,3.04,3.69,29542.00,-63.45,60.67,59.18,2.98,
2020-05-20 00:00:00 UTC,1.89,3.04,3.69,29542.00,-63.45,60.67,59.18,2.98
2020-05-21 00:00:00 UTC,0.29,0.78,1.26,30982.00,-62.80,55.49,64.32,0.78,
2020-05-21 00:00:00 UTC,0.29,0.78,1.26,30982.00,-62.80,55.49,64.32,0.78
2020-05-22 00:00:00 UTC,0.39,1.13,2.16,32422.00,-63.51,56.21,62.35,1.13,
2020-05-22 00:00:00 UTC,0.39,1.13,2.16,32422.00,-63.51,56.21,62.35,1.13
2020-05-23 00:00:00 UTC,0.90,1.83,2.77,33862.00,-62.63,59.11,59.98,1.83,
2020-05-23 00:00:00 UTC,0.90,1.83,2.77,33862.00,-62.63,59.11,59.98,1.83
2020-05-24 00:00:00 UTC,2.74,4.25,4.98,35302.00,-63.29,61.15,55.56,4.25,
2020-05-24 00:00:00 UTC,2.74,4.25,4.98,35302.00,-63.29,61.15,55.56,4.25
2020-05-25 00:00:00 UTC,3.06,4.72,5.41,36742.00,-62.53,64.65,57.97,4.72,
2020-05-25 00:00:00 UTC,3.06,4.72,5.41,36742.00,-62.53,64.65,57.97,4.72
2020-05-26 00:00:00 UTC,0.98,1.64,1.95,38182.00,-62.83,62.39,64.74,1.64,
2020-05-26 00:00:00 UTC,0.98,1.64,1.95,38182.00,-62.83,62.39,64.74,1.64
2020-05-27 00:00:00 UTC,1.31,2.20,2.60,39622.00,-62.98,65.01,52.50,2.20,
2020-05-27 00:00:00 UTC,1.31,2.20,2.60,39622.00,-62.98,65.01,52.50,2.20
2020-05-28 00:00:00 UTC,3.06,4.43,5.04,41062.21,-62.89,73.25,40.13,4.43,
2020-05-28 00:00:00 UTC,3.06,4.43,5.04,41062.21,-62.89,73.25,40.13,4.43
2020-05-29 00:00:00 UTC,3.30,4.87,5.74,42502.00,-64.60,75.94,36.11,4.87,
2020-05-29 00:00:00 UTC,3.30,4.87,5.74,42502.00,-64.60,75.94,36.11,4.87
2020-05-30 00:00:00 UTC,2.24,3.98,5.78,43943.00,-64.47,63.23,49.10,3.98,
2020-05-30 00:00:00 UTC,2.24,3.98,5.78,43943.00,-64.47,63.23,49.10,3.98
2020-05-31 00:00:00 UTC,0.85,1.77,2.74,45384.00,-62.82,56.65,69.69,1.77
