,code,value_represented
388,17243,"Indeno[1,2,3-cd]pyrene (TSP) STP"
389,17301,o-Cresol (TSP) STP
390,17302,m-Cresol (TSP) STP
391,17303,p-Cresol (TSP) STP
392,17502,Benzanthrone (TSP) STP
393,17710,o-Toluidine (TSP) STP
394,17716,"3,3'-Dichlorobenzidene (TSP) STP"
395,17725,Pentachloronitrobenzene (TSP) STP
396,17801,Trichlorobenzene (TSP) STP
397,17802,Tetrachlorobenzene (TSP) STP
398,17803,Pentachlorobenzene (TSP) STP
399,17804,Hexachlorobenzene (TSP) STP
400,17805,Dichlorophenol (TSP) STP
401,17806,Trichlorophenol (TSP) STP
402,17807,Tetrachlorophenol (TSP) STP
403,17808,Pentachlorophenol (TSP) STP
404,17809,"1,1-Biphenyl, chloro (TSP) STP"
405,17810,Dichlorobiphenyl (TSP) STP
406,17811,Trichlorobiphenyl (TSP) STP
407,17812,Tetrachlorobiphenyl (TSP) STP
408,17813,Pentachlorobiphenyl (TSP) STP
409,17814,Hexachlorobiphenyl (TSP) STP
410,17815,Heptachlorobiphenyl (TSP) STP
411,17816,Octachlorobiphenyl (TSP) STP
412,17817,Nonachlorobiphenyl (TSP) STP
413,17818,Decachlorobiphenyl (TSP) STP
414,17819,"2,3,7,8,-Tetrachlorodibenzo-p-dioxin"
415,17820,Total tetachlorodibenzo-p-dioxin (TSP) STP
416,17821,Total pentachlorodibenzo-p-dioxin (TSP) STP
417,17822,Total hexachlorodibenzo-p-dioxin (TSP) STP
418,17823,Total heptachlorodibenzo-p-dioxin (TSP) STP
419,17824,Total octachlorodibenzo-p-dioxin (TSP) STP
420,17825,"2,3,7,8-Tetrachlorodibenzofuran (TSP) STP"
421,17826,Total tetrachlorodibenzofuran (TSP) STP
422,17827,Total pentachlorodibenzofuran (TSP) STP
423,17828,Total hexachlorodibenzofuran (TSP) STP
424,17829,Total heptachlorodibenzofuran (TSP) STP
425,17830,Total octachlorodibenzofuran (TSP) STP
426,17833,Polychlorinated biphenyls (PCBs)
427,17835,Alpha-terpinene (TSP) STP
428,17902,"Dibenzo[b,e][1,4]dioxin,2,3,7,8-tetrachloro (TSP) STP"
429,17906,"2,4-Toluene Diisocyanate"
430,17907,D-limonene
431,17911,2-6-TOLUENEDIISOCYANATE
432,18202,Dibenzofuran (TSP) STP
433,21101,Total dustfall (SP)
434,21102,Organic Fraction (SP)
435,21103,Benzene Sol Org (SP)
436,21113,Inorganic Fractn (SP)
437,21114,Water Sol Weight (SP)
438,21115,Water Insol Wt (SP)
439,21116,Total Weight Ash (SP)
440,21117,Water Sol Ash (SP)
441,21118,Water Inso Ash (SP)
442,22102,Antimony (SP)
443,22103,Arsenic (SP)
444,22110,Cadmium (SP)
445,22111,Calcium (SP)
446,22112,Chromium (SP)
447,22114,Copper (SP)
448,22126,Iron (SP)
449,22128,Lead (SP)
450,22132,Manganese (SP)
451,22136,Nickel (SP)
452,22142,Mercury (SP)
453,22166,Silver (SP)
454,22167,Zinc (SP)
455,22203,Chloride(SP)
456,22301,Ammonium (SP)
457,22306,Nitrate (SP)
458,22403,Sulfate (SP)
459,22602,pH (Dustfall)
460,22604,Ammonia (SP)
461,25101,Dustfall Combustible (SP)
462,25303,Conductance (SP)
463,31101,Respirable part
464,42101,Carbon monoxide
465,42102,Carbon dioxide
466,42153,Carbon disulfide
467,42215,Chlorine
468,42242,Mercury (vapor)
469,42243,Mercury (Reactive Gaseous)
470,42269,Total sulfur
471,42301,Hydrobromic acid
472,42302,Hydrochloric acid
473,42303,Hydrofluoric acid
474,42304,Hydronium ion
475,42305,Nitric acid
476,42306,Sulfuric acid
477,42307,Phosphoric acid
478,42308,Nitrous acid
479,42401,Sulfur dioxide
480,42402,Hydrogen sulfide
481,42406,SO2 max 5-min avg
482,42410,Sulfation rate
483,42513,Fluoride ion
484,42600,Reactive oxides of nitrogen (NOy)
485,42601,Nitric oxide (NO)
486,42602,Nitrogen dioxide (NO2)
487,42603,Oxides of nitrogen (NOx)
488,42604,Ammonia
489,42605,NITROUS OXIDE
490,42607,Hydrogen cyanide
491,42609,Nitrite
492,42612,NOy - NO
493,43000,Sum of PAMS target compounds
494,43101,Total hydrocarbons
495,43102,Total NMOC (non-methane organic compound)
496,43104,Volatile organic compounds
497,43111,Isomers of dodecane
498,43121,Isomers of pentene
499,43122,3-Methyl-1-butene & Cyclopentene
500,43126,Ethylene & acetylene
501,43127,Isobutene & 1-butene
502,43130,"n-Octane & trans-1,3-dichloropropylene"
503,43131,Unidentified VOC
504,43134,"1,1-Bis(4-chlorophenyl)-2,2-dichloroethane"
505,43135,Birdin
506,43136,"2,4-Dichlorophenoxyacetic acid methyl ester"
507,43137,Lindane
508,43138,"1,2,3,4,5,6- Hexachlorocyclohexane"
509,43139,"1,2,3,4,5,6- Hexachlolocyclohexane, .beta.-"
510,43140,"1,2,3,4,5,6- Hexachlorocyclohexane, .delta.-"
511,43141,n-Dodecane
512,43142,Tridecene
513,43143,n-Tridecane
514,43144,Propyne
515,43145,1-Octene
516,43148,cis/trans-2-Butene
517,43149,cis/trans-2-Hexene
518,43150,cis/trans-2-Pentene
519,43151,Heptachlor epoxide
520,43152,Endrin ketone
521,43153,Methoxychlor
522,43154,Guthion
523,43155,Atrazine
524,43156,Dacthal
525,43157,Endosulfan
526,43158,Dursban
527,43159,Aldrin
528,43160,Methyl Parathion
529,43161,Endrin aldehyde
530,43162,"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane"
531,43163,Endosulfan 2
532,43164,Endrin
533,43165,Dieldrin
534,43166,"1,1-Dichloroethenylidene bis(4-chlorobenzene)"
535,43167,"Phosphorotrithioic acid,S,S,S-tributylester"
536,43168,Endosulfan sulfate
537,43169,Malathion
538,43170,Heptachlor
539,43171,"Cyclopentane & 2,3-dimethylbutane"
540,43172,2-Methylheptane & 3-Methylheptane
541,43173,1-Hexene & 2-Methyl-1-pentene
542,43174,"2,3-Dimethylbutane & 2-Methylpentane"
543,43175,Endosulfan 1 (alpha)
544,43188,Pinene & p-ethytoluene
545,43189,"beta.Pinene & 1,2,3- trimethylbenzene"
546,43201,Methane
547,43202,Ethane
548,43203,Ethylene
549,43204,Propane
550,43205,Propylene
551,43206,Acetylene
552,43207,Freon 113
553,43208,Freon 114
554,43209,Ethyl acetate
555,43212,n-Butane
556,43214,Isobutane
557,43216,trans-2-Butene
558,43217,cis-2-Butene
559,43218,"1,3-Butadiene"
560,43220,n-Pentane
561,43221,Isopentane
562,43222,"2,2-Dimethylpropane"
563,43223,"1,2-Butadiene"
564,43224,1-Pentene
565,43225,2-Methyl-1-butene
566,43226,trans-2-Pentene
567,43227,cis-2-Pentene
568,43228,2-Methyl-2-butene
569,43229,"1,3-Hexadiene"
570,43230,3-Methylpentane
571,43231,n-Hexane
572,43232,n-Heptane
573,43233,n-Octane
574,43234,4-Methyl-1-pentene
575,43235,n-Nonane
576,43236,2-Ethyl-1-butene
577,43237,2-Methyl-2-pentene
578,43238,n-Decane
579,43241,"2,3-Dimethyl-2-pentene"
580,43242,Cyclopentane
581,43243,Isoprene
582,43244,"2,2-Dimethylbutane"
583,43245,1-Hexene
584,43246,2-Methyl-1-pentene
585,43247,"2,4-Dimethylpentane"
586,43248,Cyclohexane
587,43249,3-Methylhexane
588,43250,"2,2,4-Trimethylpentane"
589,43251,Cyclopropane
590,43252,"2,3,4-Trimethylpentane"
591,43253,3-Methylheptane
592,43254,cis-3-Hexene
593,43255,Limonene
594,43256,alpha.-Pinene
595,43257,beta.-Pinene
596,43259,n-Tetradecane
597,43260,n-Pentadecane
598,43261,Methylcyclohexane
599,43262,Methylcyclopentane
600,43263,2-Methylhexane
601,43264,Heptane
602,43269,Cyclohexene
603,43270,Isobutene
604,43274,"2,4,4-Trimethyl-1-pentene"
605,43275,"2,4,4-Trimethyl-2-pentene"
606,43279,1-Nonene
607,43280,1-Butene
608,43282,3-Methyl-1-butene
609,43283,Cyclopentene
610,43284,"2,3-Dimethylbutane"
611,43285,2-Methylpentane
612,43286,cis-4-Methyl-2-pentene
613,43289,trans-2-Hexene
614,43290,cis-2-Hexene
615,43291,"2,3-Dimethylpentane"
616,43292,2-2-3-Trimethylpentane
617,43293,"2,4-Dimethylhexane"
618,43294,"2,3-Dimethylhexane"
619,43295,3-Ethylhexane
620,43296,Ethylcyclohexane
621,43298,1-Decene
622,43299,1-Undecene
623,43301,Methanol
624,43302,Ethyl alcohol
625,43303,n-Propyl alcohol
626,43305,n-Butyl alcohol
627,43306,ISO-BUTYL ALCOHOL
628,43307,n-Amyl alcohol
629,43309,tert-butyl alcohol
630,43312,2-Propanol
631,43323,n-Pinene & benzaldehyde
632,43328,1-Heptene
633,43329,Butyraldehyde & isobutyraldehyde
634,43330,Dodecene
635,43331,2-Chloropentane
636,43335,3-Chloropropene
637,43339,Butryl-aldehyde & Methyl Ethyl Ketone
638,43340,Ethyne & isobutane
639,43341,Isopentane & cyclopentane
640,43342,3-Methyl-1-butene & cyclopentene
641,43343,2-Methyl-2-butene & 1-pentene
