date,parameter,location,value,unit,city,attribution,averagingperiod,coordinates,country,sourcename,sourcetype,mobile
"{utc=2018-05-13T01:00:00.000Z, local=2018-05-12T17:00:00-08:00}",pm25,San Francisco,3,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-03T00:00:00.000Z, local=2018-05-02T16:00:00-08:00}",pm25,San Francisco,13,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-09T03:00:00.000Z, local=2018-05-08T19:00:00-08:00}",pm25,San Francisco,5,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-02T22:00:00.000Z, local=2018-05-02T14:00:00-08:00}",pm25,San Francisco,1,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-12T02:00:00.000Z, local=2018-05-11T18:00:00-08:00}",pm25,San Francisco,6,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-10T17:00:00.000Z, local=2018-05-10T09:00:00-08:00}",pm25,San Francisco,11,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-01T07:00:00.000Z, local=2018-04-30T23:00:00-08:00}",pm25,San Francisco,7,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-11T15:00:00.000Z, local=2018-05-11T07:00:00-08:00}",pm25,San Francisco,9,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-09T02:00:00.000Z, local=2018-05-08T18:00:00-08:00}",pm25,San Francisco,1,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-17T16:00:00.000Z, local=2018-05-17T08:00:00-08:00}",pm25,San Francisco,2,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
